order_id,order_date,ship_date,customer_id,customer_name,segment,region,state,city,category,sub_category,product_name,quantity,unit_price,discount,revenue,cost,profit
ORD-00001,2024-01-14,2024-01-17,CUST-0582,Thomas Clark,Corporate,North,Michigan,Detroit,Furniture,Chairs,Executive Leather Chair,3,236.05,0.05,672.74,513.29,159.45
ORD-00002,2024-03-28,2024-03-31,CUST-0525,Aarav Shah,Consumer,West,Washington,Seattle,Technology,Machines,Binding Machine Heavy,1,426.91,0.05,405.56,231.85,173.71
ORD-00003,2024-09-05,2024-09-08,CUST-0217,Sandra Rodriguez,Corporate,South,Georgia,Atlanta,Office Supplies,Paper,Recycled Copy Paper 500pk,2,27.38,0.0,54.76,34.08,20.68
ORD-00004,2024-05-27,2024-05-31,CUST-0363,Mei Chen,Consumer,North,Illinois,Chicago,Office Supplies,Paper,Legal Size Paper Ream,5,46.45,0.1,209.03,145.42,63.61
ORD-00005,2024-08-10,2024-08-14,CUST-0297,Sarah Martinez,Consumer,East,Massachusetts,Boston,Furniture,Furnishings,Cork Board Large,4,31.46,0.0,125.84,80.32,45.52
ORD-00006,2024-08-26,2024-08-28,CUST-0318,Dorothy Thomas,Corporate,East,Pennsylvania,Philadelphia,Furniture,Chairs,Adjustable Swivel Chair,5,354.98,0.0,1774.9,1221.65,553.25
ORD-00007,2024-10-22,2024-10-25,CUST-0150,Anthony Smith,Consumer,East,Pennsylvania,Philadelphia,Technology,Phones,Business Desk Phone,3,765.9,0.05,2182.81,1445.16,737.65
ORD-00008,2024-08-01,2024-08-08,CUST-0331,Mark Brown,Home Office,South,Texas,Dallas,Office Supplies,Paper,Legal Size Paper Ream,2,24.9,0.0,49.8,31.29,18.51
ORD-00009,2023-02-27,2023-03-01,CUST-0473,Carlos Clark,Consumer,East,Massachusetts,Boston,Furniture,Chairs,Adjustable Swivel Chair,2,397.04,0.1,714.67,537.22,177.45
ORD-00010,2023-02-12,2023-02-17,CUST-0668,Linda Sanchez,Consumer,South,Tennessee,Nashville,Furniture,Chairs,Stackable Conference Chair,5,151.75,0.0,758.75,582.06,176.69
ORD-00011,2023-03-28,2023-03-30,CUST-0254,Joseph Taylor,Corporate,North,Indiana,Indianapolis,Technology,Accessories,Mechanical Keyboard RGB,1,80.84,0.05,76.8,30.46,46.34
ORD-00012,2023-12-13,2023-12-15,CUST-0647,Carol Taylor,Corporate,East,New York,New York,Technology,Machines,Label Maker Portable,5,211.04,0.35,685.88,555.79,130.09
ORD-00013,2023-12-08,2023-12-12,CUST-0359,Nancy Harris,Consumer,South,Florida,Miami,Furniture,Chairs,Ergonomic Task Chair,3,379.46,0.0,1138.38,856.17,282.21
ORD-00014,2023-05-11,2023-05-16,CUST-0757,Margaret Clark,Home Office,North,Illinois,Chicago,Technology,Machines,Binding Machine Heavy,2,268.15,0.0,536.3,243.66,292.64
ORD-00015,2023-08-08,2023-08-13,CUST-0197,Mei Singh,Consumer,East,New York,New York,Office Supplies,Paper,Colored Paper Assorted,4,39.69,0.25,119.07,73.63,45.44
ORD-00016,2023-02-08,2023-02-14,CUST-0633,Ashley Martin,Consumer,West,California,San Francisco,Furniture,Tables,L-Shaped Computer Desk,2,182.77,0.15,310.71,252.91,57.8
ORD-00017,2024-03-30,2024-04-04,CUST-0460,Brian Jackson,Consumer,East,Maryland,Baltimore,Furniture,Bookcases,Corner Bookcase Unit,1,273.91,0.05,260.21,191.56,68.65
ORD-00018,2024-06-24,2024-06-26,CUST-0205,Karen Williams,Corporate,East,Massachusetts,Boston,Furniture,Furnishings,Cork Board Large,1,92.09,0.2,73.67,73.75,-0.08
ORD-00019,2023-10-19,2023-10-21,CUST-0461,Paul Patel,Home Office,East,Maryland,Baltimore,Furniture,Tables,L-Shaped Computer Desk,6,813.47,0.05,4636.78,3292.6,1344.18
ORD-00020,2024-02-10,2024-02-13,CUST-0084,Aarav Martin,Consumer,East,New York,New York,Technology,Copiers,Color Copier Office,1,447.68,0.2,358.14,236.99,121.15
ORD-00021,2024-12-13,2024-12-18,CUST-0481,Carol Brown,Consumer,East,New York,New York,Furniture,Bookcases,Metal Storage Bookcase,2,430.68,0.15,732.16,709.14,23.02
ORD-00022,2024-06-24,2024-06-29,CUST-0244,Nancy Johnson,Consumer,East,Maryland,Baltimore,Technology,Machines,Paper Shredder Cross-Cut,5,137.65,0.1,619.43,370.77,248.66
ORD-00023,2023-01-17,2023-01-21,CUST-0736,Priya Johnson,Consumer,West,Arizona,Phoenix,Office Supplies,Binders,Clear View Binder Pack,3,8.06,0.1,21.76,12.17,9.59
ORD-00024,2024-01-05,2024-01-09,CUST-0520,Carlos Lopez,Corporate,West,California,Los Angeles,Office Supplies,Storage,Plastic Storage Bins 6pk,8,79.92,0.0,639.36,306.1,333.26
ORD-00025,2023-01-17,2023-01-19,CUST-0247,Charles Williams,Corporate,South,Tennessee,Nashville,Technology,Copiers,Color Copier Office,2,279.8,0.2,447.68,342.91,104.77
ORD-00026,2024-12-02,2024-12-06,CUST-0647,Carol Taylor,Consumer,East,Maryland,Baltimore,Furniture,Bookcases,Metal Storage Bookcase,1,98.4,0.0,98.4,74.35,24.05
ORD-00027,2023-11-14,2023-11-21,CUST-0557,Ashley Davis,Consumer,East,Pennsylvania,Philadelphia,Office Supplies,Pens,Ballpoint Pen 12pk,2,17.58,0.0,35.16,13.8,21.36
ORD-00028,2024-01-12,2024-01-15,CUST-0451,Betty Lopez,Home Office,West,California,San Francisco,Office Supplies,Labels,Name Badge Labels,4,11.08,0.0,44.32,22.11,22.21
ORD-00029,2023-03-22,2023-03-29,CUST-0185,Emily Wilson,Corporate,West,California,Los Angeles,Office Supplies,Labels,Shipping Labels 200pk,3,9.74,0.05,27.76,13.15,14.61
ORD-00030,2024-12-07,2024-12-10,CUST-0745,Carol Ali,Home Office,West,Colorado,Denver,Office Supplies,Labels,Address Labels Roll 500,3,4.65,0.05,13.25,6.49,6.76
ORD-00031,2024-11-26,2024-11-27,CUST-0623,Ashley Taylor,Corporate,West,California,San Francisco,Furniture,Tables,Round Meeting Table,6,421.61,0.0,2529.66,1745.25,784.41
ORD-00032,2023-06-07,2023-06-13,CUST-0381,Lisa Kumar,Consumer,East,Pennsylvania,Philadelphia,Technology,Copiers,High-Speed Document Scanner,1,765.89,0.35,497.83,530.47,-32.64
ORD-00033,2024-05-26,2024-06-01,CUST-0121,Wei Shah,Consumer,East,Maryland,Baltimore,Furniture,Bookcases,Corner Bookcase Unit,1,164.07,0.0,164.07,122.94,41.13
ORD-00034,2023-11-24,2023-11-29,CUST-0564,Barbara Harris,Corporate,North,Michigan,Detroit,Technology,Accessories,Mechanical Keyboard RGB,1,106.66,0.0,106.66,37.02,69.64
ORD-00035,2023-05-23,2023-05-27,CUST-0370,Barbara Thomas,Corporate,West,Arizona,Phoenix,Furniture,Chairs,Executive Leather Chair,8,254.65,0.15,1731.62,1509.82,221.8
ORD-00036,2024-06-22,2024-06-25,CUST-0589,Michelle Perez,Consumer,North,Illinois,Chicago,Office Supplies,Storage,Desktop Organizer,4,24.12,0.1,86.83,47.17,39.66
ORD-00037,2024-08-24,2024-08-31,CUST-0444,Joseph Wilson,Consumer,North,Illinois,Chicago,Technology,Accessories,Mechanical Keyboard RGB,2,41.28,0.15,70.18,33.89,36.29
ORD-00038,2023-12-21,2023-12-25,CUST-0291,Paul Muller,Home Office,East,Virginia,Richmond,Office Supplies,Binders,D-Ring Binder Heavy Duty,1,19.59,0.1,17.63,7.88,9.75
ORD-00039,2023-06-07,2023-06-11,CUST-0620,Yuki Thomas,Consumer,North,Illinois,Chicago,Furniture,Chairs,Executive Leather Chair,4,574.27,0.0,2297.08,1455.41,841.67
ORD-00040,2024-03-02,2024-03-03,CUST-0643,Kevin Shah,Corporate,South,Georgia,Atlanta,Office Supplies,Binders,Clear View Binder Pack,1,11.03,0.0,11.03,6.06,4.97
ORD-00041,2024-03-26,2024-03-30,CUST-0349,Carol Chen,Corporate,West,Washington,Seattle,Technology,Copiers,High-Speed Document Scanner,2,435.38,0.1,783.68,554.61,229.07
ORD-00042,2023-11-23,2023-11-25,CUST-0461,Paul Patel,Consumer,East,Massachusetts,Boston,Office Supplies,Envelopes,Padded Mailer Pack,5,5.23,0.0,26.15,13.3,12.85
